policy_number,sale_date,product_value_,sale_value_nis,nature,percentage_of_sale,city,year_of_construction,area,bedrooms,addresses,address,coordinates,closest_direct_address,direct_distance_km,class,sale_year,sale_year_range,subgroup
"[6205, 494]",2022-10-13 00:00:00,2050000,2050000,דירה בבית קומות,1,רמת גן,1950,56,2,['רמת גן דרך אבא הלל 68'],אבא הלל 68 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2022,21-22,21-22 - 500-1000
"[6205, 453]",2023-08-07 00:00:00,2000000,2000000,דירה בבית קומות,1,רמת גן,1950,60,2.5,['רמת גן דרך אבא הלל 84'],אבא הלל 84 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 451]",2024-01-29 00:00:00,1980000,1980000,דירה בבית קומות,1,רמת גן,1960,74,3,"['  רמת גן אבא הלל 88', 'רמת גן התקווה 2']",אבא הלל 88 רמת גן,"(32.090844, 34.812758)",Bialik,0.398132268,0-500,2024,23-24,23-24 - 0-500
"[6205, 451]",2023-07-12 00:00:00,1980000,1980000,דירה בבית קומות,1,רמת גן,1950,57,2,"['רמת גן דרך אבא הלל 88', 'רמת גן התקווה 2']",אבא הלל 88 רמת גן,"(32.090844, 34.812758)",Bialik,0.398132268,0-500,2023,23-24,23-24 - 0-500
"[6205, 295]",2023-12-07 00:00:00,2070750,2070750,דירה בבית קומות,1,רמת גן,1950,60,2,['רמת גן דרך אבא הלל 98'],אבא הלל 98 רמת גן,"(32.091086149999995, 34.813940081225056)",Bialik,0.43789856,0-500,2023,23-24,23-24 - 0-500
"[6111, 388]",2023-05-18 00:00:00,2580000,2580000,דירה בבית קומות,1,תל אביב -יפו,1970,48,2,['תל אביב-יפו שלמה אבן גבירול 22'],אבן גבירול 22 תל אביב-יפו,"(32.0740824, 34.7820021)",Yehudit,0.747217117,500-1000,2023,23-24,23-24 - 500-1000
"[6111, 572]",2024-06-06 00:00:00,1580000,1580000,חנות,1,תל אביב -יפו,1950,34,0,['תל אביב-יפו שלמה אבן גבירול 48'],אבן גבירול 48 תל אביב-יפו,"(32.077353, 34.781521)",Sha'ul HaMelekh,0.985869067,500-1000,2024,23-24,23-24 - 500-1000
"[6111, 598]",2024-08-05 00:00:00,3730000,3730000,דירה בבית קומות,1,תל אביב -יפו,2020,60,3,"['תל אביב-יפו שלמה אבן גבירול 54', 'תל אביב-יפו מאנה 18', 'תל אביב-יפו מאנה 16', 'תל אביב-יפו שלמה אבן גבירול 54']",אבן גבירול 54 תל אביב-יפו,"(32.0779633, 34.7815084)",Sha'ul HaMelekh,0.994867738,500-1000,2024,23-24,23-24 - 500-1000
"[6111, 154]",2024-02-14 00:00:00,3473000,3473000,דירה בבית קומות,1,תל אביב -יפו,2029,57,2,"['תל אביב-יפו שלמה אבן גבירול 56', 'תל אביב-יפו מאנה 15']",אבן גבירול 56 תל אביב-יפו,"(32.078686, 34.781467)",Sha'ul HaMelekh,1.013730649,1000+,2024,23-24,23-24 - 1000+
"[6111, 154]",2024-03-26 00:00:00,2700000,2700000,דירה בבית קומות,1,תל אביב -יפו,2029,38,2,"['תל אביב-יפו שלמה אבן גבירול 56', 'תל אביב-יפו מאנה 15']",אבן גבירול 56 תל אביב-יפו,"(32.078686, 34.781467)",Sha'ul HaMelekh,1.013730649,1000+,2024,23-24,23-24 - 1000+
"[6111, 394]",2023-01-04 00:00:00,2100000,2100000,דירה בבית קומות,0.5,תל אביב -יפו,1940,78,2.5,['תל אביב-יפו שלמה אבן גבירול 58'],אבן גבירול 58 תל אביב-יפו,"(32.078904, 34.781478)",Sha'ul HaMelekh,1.018442657,1000+,2023,23-24,23-24 - 1000+
"[6167, 454]",2023-11-14 00:00:00,2950000,2242000,דירה בבית קומות,0.76,גבעתיים,1970,85,3,['גבעתיים אהרון גולדשטיין 18'],אהרון גולדשטיין 18 גבעתיים,"(32.07768695, 34.80949438529967)",Abba Hillel,0.860391517,500-1000,2023,23-24,23-24 - 500-1000
"[6167, 454]",2023-11-14 00:00:00,708000,708000,דירה בבית קומות,0.24,גבעתיים,1970,85,3,['גבעתיים אהרון גולדשטיין 18'],אהרון גולדשטיין 18 גבעתיים,"(32.07768695, 34.80949438529967)",Abba Hillel,0.860391517,500-1000,2023,23-24,23-24 - 500-1000
"[6167, 389]",2024-07-26 00:00:00,4750000,4750000,דירה בבית קומות,1,גבעתיים,2015,135,4,['גבעתיים אהרון גולדשטיין 2'],אהרון גולדשטיין 2 גבעתיים,"(32.079555150000004, 34.80908122372078)",Abba Hillel,0.704527441,500-1000,2024,23-24,23-24 - 500-1000
"[6167, 633]",2023-12-10 00:00:00,4000000,4000000,דירה בבית קומות,1,גבעתיים,2014,92,4,"['גבעתיים אהרון גולדשטיין 7', 'גבעתיים השנים 1']",אהרון גולדשטיין 7 גבעתיים,"(32.0789031, 34.8096804)",Abba Hillel,0.79120323,500-1000,2023,23-24,23-24 - 500-1000
"[6126, 116]",2023-09-05 00:00:00,173750,1738750,דירה בבית קומות,0.812,רמת גן,1950,56,2.5,['רמת גן אורה 3'],אורה 3 רמת גן,"(32.08045610858743, 34.815335355742135)",Bialik,0.790325827,500-1000,2023,23-24,23-24 - 500-1000
"[6126, 116]",2023-09-05 00:00:00,133750,133750,דירה בבית קומות,0.062,רמת גן,1950,56,2.5,['רמת גן אורה 3'],אורה 3 רמת גן,"(32.08045610858743, 34.815335355742135)",Bialik,0.790325827,500-1000,2023,23-24,23-24 - 500-1000
"[6126, 635]",2024-01-19 00:00:00,2450000,2450000,דירה בבית קומות,1,רמת גן,2018,62,3,['רמת גן אורה 5'],אורה 5 רמת גן,"(32.08054714297054, 34.81560641630786)",Bialik,0.788863976,500-1000,2024,23-24,23-24 - 500-1000
"[6111, 837]",2023-03-16 00:00:00,15300000,15300000,דירה בבית קומות,1,תל אביב -יפו,1990,172,5,"['תל אביב-יפו אורי 4', 'תל אביב-יפו אורי 6']",לסר אורי 4 תל אביב-יפו,"(32.080621357192506, 34.78537491733806)",Sha'ul HaMelekh,0.760961796,500-1000,2023,23-24,23-24 - 500-1000
"[6111, 837]",2023-03-15 00:00:00,4304000,4304000,דירה בבית קומות,0.47,תל אביב -יפו,1970,118,4,"['תל אביב-יפו לסר אורי 4', 'תל אביב-יפו לסר אורי 6']",לסר אורי 4 תל אביב-יפו,"(32.080621357192506, 34.78537491733806)",Sha'ul HaMelekh,0.760961796,500-1000,2023,23-24,23-24 - 500-1000
"[6111, 837]",2023-03-15 00:00:00,4846000,4846000,דירה בבית קומות,0.53,תל אביב -יפו,1970,118,4,"['תל אביב-יפו לסר אורי 4', 'תל אביב-יפו לסר אורי 6']",לסר אורי 4 תל אביב-יפו,"(32.080621357192506, 34.78537491733806)",Sha'ul HaMelekh,0.760961796,500-1000,2023,23-24,23-24 - 500-1000
"[6111, 837]",2023-02-03 00:00:00,614000,614000,דירה בבית קומות,0.11,תל אביב -יפו,1970,136,4,"['תל אביב-יפו לסר אורי 4', 'תל אביב-יפו לסר אורי 6']",לסר אורי 4 תל אביב-יפו,"(32.080621357192506, 34.78537491733806)",Sha'ul HaMelekh,0.760961796,500-1000,2023,23-24,23-24 - 500-1000
